,wokType,holeType,holeID,hexRow,hexCol,x,y,z,r,theta,ix,iy,iz,jx,jy,jz,kx,ky,kz
71,APO,ApogeeBoss,R-11C6,-11.0,6.0,-34.13102242997,-216.76054626722,2.5770903468757997,219.43122182173332,261.05170174860496,4.9579177403940024e-06,-0.9997311710745793,0.02318589134083923,0.9999933357690928,-7.96906659319132e-05,-0.00364994065707749,0.0036508071465739755,0.02318575492081108,0.9997245082401104
72,LCO,ApogeeBoss,R-11C7,-11.0,7.0,-11.388982493389001,-216.98772942880402,2.6961438052377997,217.2864092503316,266.99548725296125,9.816959114398868e-06,-0.9996932412505306,0.02476738382703374,0.9999991550102482,-2.2382539485371507e-05,-0.0012997991426764912,0.0012999547748633804,0.02476737565892327,0.9996923963002584
73,APO,ApogeeBoss,R-11C7,-11.0,7.0,-11.3771498388222,-216.76228769249,2.5216791411122004,217.06065720009423,266.9954872394275,9.814365079916423e-06,-0.9997310927007182,0.023189268878209657,0.9999992592548381,-1.8412522012734375e-05,-0.0012170253710611521,0.0012171250769791424,0.02318926364520223,0.9997303519740411
74,LCO,ApogeeBoss,R-11C8,-11.0,8.0,11.388923069149198,-216.987745149118,2.6961443800905998,217.28642183434653,273.0044968818586,7.633226759797306e-06,-0.9996932406638693,0.024767408275891467,0.9999991550370774,3.9827241249784835e-05,0.0012993609667678113,-0.0012999487932047874,0.02476737743003288,0.9996923962641575
75,APO,ApogeeBoss,R-11C8,-11.0,8.0,11.3770904442496,-216.76230335235198,2.5216816596492,217.06066972529524,273.0044968875485,7.633258595487813e-06,-0.9997310921888624,0.023189291765763773,0.999999259280682,3.585533896349768e-05,0.0012166151742092446,-0.0012171194768023361,0.023189265302269158,0.9997303519424227
76,LCO,ApogeeBoss,R-11C9,-11.0,9.0,34.166514747352,-216.985767474384,2.7553655674392004,219.65922247069088,278.9483057450394,5.4499431176108045e-06,-0.9996933300249691,0.024763801684850498,0.9999923978573624,0.00010200863402788024,0.0038979253098814686,-0.003899256054807223,0.024763592183426615,0.9996857307696214
77,APO,ApogeeBoss,R-11C9,-11.0,9.0,34.131050992270005,-216.760542550946,2.5770943083613997,219.43122259336164,278.94830576947226,5.452550342514577e-06,-0.9997311701997827,0.023185928949316443,0.9999933357525849,9.009849180589042e-05,0.0036497030947497625,-0.0036508109630254003,0.02318575453235951,0.9997245082351824
78,LCO,ApogeeBoss,R-11C10,-11.0,10.0,56.943586108282005,-216.983401864942,2.8738458162287994,224.3309356369608,284.70470779772546,3.267164370260519e-06,-0.9996932355783317,0.02476761450466449,0.9999788768883354,0.0001642475214804479,0.00649759954866141,-0.006499674335589008,0.024767070106851915,0.9996721194831101
79,APO,ApogeeBoss,R-11C10,-11.0,10.0,56.884567588269995,-216.75851129237202,2.687947757317,224.09842981910833,284.7047078392552,3.2722796353284526e-06,-0.9997310866049215,0.02318953352344722,0.9999814828018871,0.00014439264076321348,0.0060838478041584584,-0.006085560173973819,0.02318908421020956,0.9997125748588245
80,LCO,ApogeeBoss,R-11C11,-11.0,11.0,79.720703485884,-216.98271112057802,3.0516423439218,231.1642002766009,290.17362415139087,8.128582129269365e-06,-0.999692593726089,0.02479350687439534,0.9999585135817083,0.00023396594669057905,0.009105842926170553,-0.00910884456923345,0.024792404263006152,0.9996511219627942
81,APO,ApogeeBoss,R-11C11,-11.0,11.0,79.63819449342198,-216.758138627636,2.8542720160826005,230.92495032691804,290.1736242074664,8.129029851967994e-06,-0.9997305230596215,0.023213814784616368,0.999963631412284,0.00020610620878105446,0.008526040874205984,-0.008528527814154264,0.023212901222516364,0.9996941659478447
82,LCO,ApogeeBoss,R-11C12,-11.0,12.0,102.495789142632,-216.977875143712,3.2885941289961997,239.96830018536022,295.285066091587,5.944673227211595e-06,-0.9996924182790117,0.02480058064083246,0.999931384043808,0.0002964663604748776,0.011710649509373143,-0.011714400065523411,0.02479880930929306,0.9996238251902292
83,APO,ApogeeBoss,R-11C12,-11.0,12.0,102.390021710022,-216.753970718014,3.0758625600990017,239.72067154879332,295.28506615933287,5.9477349246143275e-06,-0.9997303691422034,0.023220443135703022,0.9999398482927283,0.00026063049106631866,0.010965029323396313,-0.010968124768631314,0.023218981169316942,0.999670235203849
84,LCO,ApogeeBoss,R-11C13,-11.0,13.0,125.26443412163398,-216.963647853904,3.5844969187997995,250.52824780029505,300.00008192328403,3.7635503542035695e-06,-0.9996936021371752,0.024752814624502413,0.9998978990647978,0.00035746876196102504,0.014285085295072737,-0.014289556733466928,0.024750233576342543,0.999591533830833
